context; target; verb; marker; embedded; source; question; cP; MatixTime; MatrixSubject; MatrixPerson; MatrixNumber; AnnotationValue1; AnnotationValue2; AnnotationValue3; AnnotationValue4; AnnotationValue5; Mean; Label; Variance; SD
Vivien:- Tudja mit csinálnék? Bekopognék, megkérdezem elnézést van a háznak biztosítása? Igen van. Akkor itt estem fenékre. De azt hogyan bizonyítom? Mert ugye nagyon elmésen ma már egy kátyút fotóval kell bizonyítani ami szerintem egy mulatságos dolog. A fenékre esést hogyan lehet?; Hogyan bizonyítom hogy itt történt a baleset?; bizonyít; kérdés; Itt történt a baleset.; MNSZ2 beszéltnyelvi alkorpusz doc#2629; Ön szerint a beszélő mennyire biztos abban, hogy itt történt a baleset?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Viktor: - Sajnálatos a dologban még az is, hogy a pénzügyi bizottság vezetője aki ezt az egészet szorgalmaza és nagyon a vevőnek az érdekeit tartotta inkább szem előtt, úgy néz ki hogy érintett is bizonyos okokból a dologban. Krisztián: - Ezt tudja valamivel bizonyítani?; Viktor: - Hát ezt azzal tudnám bizonyítani hogy az önkormányzat a vevőnek az igényei szerint fogja megváltoztatni a városrendezési tervét.; bizonyít; modális; Az önkormányzat a vevőnek az igényei szerint fogja megváltoztatni a városrendezési tervét.; MNSZ2 beszéltnyelvi alkorpusz doc#2647; Ön szerint a Viktor mennyire biztos abban, hogy az önkormányzat a vevőnek az igényei szerint fogja megváltoztatni a városrendezési tervét?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A legelemibb életforma a mikrobák létezése. Ezt a világot azonban még kevéssé tártuk fel.; Nem vethetjük el azt az elméletet, mely szerint lehetséges hogy közöttük rálelhetünk másfajta létformákra is és ez azt bizonyítaná hogy akár többször is újra kialakulhatott az élet ezen a bolygón.; bizonyít; modális, feltételes; Akár többször is újra kialakulhatott az élet ezen a bolygón.; MNSZ2 beszéltnyelvi alkorpusz doc#2651; Ön szerint a beszélő mennyire biztos abban, hogy akár többször is újra kialakulhatott az élet ezen a bolygón?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Nem vethetjük el azt az elméletet, mely szerint lehetséges hogy közöttük rálelhetünk másfajta létformákra is és ez azt bizonyítaná hogy akár többször is újra kialakulhatott az élet ezen a bolygón.; Mikrobiológus munkatársaimmal azon dolgozunk, hogy a nyomára bukkanjunk ennek az árnyék bioszférának és ha sikerül ezzel azt is bizonyíthatjuk hogy van értelme a világmindenségben más életformák után kutatni.; bizonyít; modális, feltételes; Van értelme a világmindenségben más életformák után kutatni.; MNSZ2 beszéltnyelvi alkorpusz doc#2651; Ön szerint a beszélő mennyire biztos abban, hogy van értelme a világmindenségben más életformák után kutatni?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tarthatsz te választást 7 milliárd emberrel is akkor sem leszel az USA elnöke ha nem amerikában születtél. Tudod pont ezért volt a balhé Obama születési anyakönyvi kivonata körül.; Ha sikerült volna bizonyítaniuk hogy nem az USA-ban született akkor nem elnök.; bizonyít; modális, feltételes; Obama nem az USA-ban született.; MNSZ2 beszéltnyelvi alkorpusz doc#2664; Ön szerint a beszélő mennyire biztos abban, hogy Obama nem az USA-ban született?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Óh emlékszel a harangok kötelére? A kötélre ahol az ártatlanul kivégzettek megszólaltak?; Óh emlékszel hogy nem mertél beszélni a hegyekben, hogy nem szeretted a hegycsúcsokat és a tengert, a két legszebb pillandót a világon?; emlékszik; kérdés; A beszélgetőpartner nem mert beszélni a hegyekben.; MNSZ2 beszéltnyelvi alkorpusz doc#2597; Ön szerint a beszélő mennyire biztos abban, hogy a beszélgetőpartner nem mert beszélni a hegyekben?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
És azt hallottam hogy Kányádi Sándor azt mondta hogy otthon otthon legyünk benne. Igaz ez?; Kányádi Sándor: - Nem emlékszem hogy ilyen bölcset mondtam volna, de én egyetértek Tamási Áronnal.; emlékszik; tagadás; Kányádi Sándor ilyen bölcset mondott.; MNSZ2 beszéltnyelvi alkorpusz doc#2598; Ön szerint Kányádi Sándor mennyire biztos abban, hogy ő ilyen bölcset mondott?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
És itt az íróasztal körül pedig megelevenednek az aranyember figurái, úgyhogy igazi élményében részesülhetnek a mai fiatalok is. Cservenka Judit: - Kállói Judit a művészeti vezetője a Vaszary villának. Meglepett engem amikor ideérkeztem, hogy ez itt van.; Mert nem emlékeztem hogy itt volna egy ilyen villa.; emlékszik; tagadás; Itt van egy ilyen villa.; MNSZ2 beszéltnyelvi alkorpusz doc#2599; Ön szerint Cservenka Judit mennyire biztos abban, hogy itt van egy ilyen villa?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Esti fonókban arról beszélgettek a frontot hadifogságot megjárt férfiak hogy hogyan lehetne átszökni a román-magyar határon. Ezek jobbára az álmodozás szintjén maradtak.; Perjés Klára: - Mintha úgy emlékeznék hogy volt aki el is indult aztán onnan ugye?; emlékszik; modális, feltételes; Volt, aki el is indult onnan.; MNSZ2 beszéltnyelvi alkorpusz doc#2599; Ön szerint Perjés Klára mennyire biztos abban, hogy volt, aki el is indult onnan?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DR.Budai József gyerekgyógyász intektológus.: - Abszolút indikáció kérem influenza elleni védőoltást feltétlenül tessék beadatni. Igen.; DR.Budai József gyerekgyógyász intektológus.: - Nem tudom, hogy tüdőgyulladás elleni oltással hogy áll, nem emlékszem hogy mondta volna.; emlékszik; tagadás; A beszélgető partner mondta, hogy áll tüdőgyulladás elleni oltással.; MNSZ2 beszéltnyelvi alkorpusz doc#2619; Ön szerint DR.Budai József mennyire biztos abban, hogy a beszélgető partner mondta, hogy áll tüdőgyulladás elleni oltással?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ronics Imre: -Nálunk az utóbbi időben megduplázódott ezen betegek száma, és mi ezeknek a betegeknek akik ezeknek a kritériumoknak megfelelnek a prosztata műtéti eltávolítását ajánljuk, ha valami féle akadálya, súlyos szívbetegség például nincs.; Nem is emlékszem hogy volt ilyen.; emlékszik; tagadás; Volt olyan, hogy Ronics Imre egy betegének súlyos szívbetegsége volt.; MNSZ2 beszéltnyelvi alkorpusz doc#2629; Ön szerint Ronics Imre mennyire biztos abban, hogy volt olyan, hogy egy betegének súlyos szívbetegsége volt?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Riporter - Mióta a világ világ, az van a gyerek sarkán? Telef: - Nem, ezt elfelejtettem mondani, hogy ez ötéves kora óta van. Riporter- Hogy az minek következtében jött létre, én nem tudom mi ez, azért kérdezem?; Telef: - Nem, igen azt szeretném megkérdezni, hogy erről a granuloma anulare nevű betegségről, hogy mit tudna elmondani, illetve még olvastam az interneten, hogy kullancscsípéstől is lehet extrém, ritka esetben, de hát én nem emlékszem hogy kullancs megcsípte volna, tehát nem volt ilyen.; emlékszik; tagadás; A beszélő gyerekét megcsípte egy kullancs.; MNSZ2 beszéltnyelvi alkorpusz doc#2642; Ön szerint a betelefonáló mennyire biztos abban, hogy a gyerekét megcsípte egy kullancs?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ez így szokott lenni hogy valaki mond valamit a másik fél is mond valamit. Peredi úr de ez a hajó elment. Hát ez a matrica rendszer él.; Én nem nagyon emlékszem hogy valaki bármivel is visszalépett volna mondjuk itt a fővárosban hasonló ügyekben.; emlékszik; tagadás; Valaki bármivel visszalépett a fővárosban hasonló ügyekben.; MNSZ2 beszéltnyelvi alkorpusz doc#2651; Ön szerint a beszélő mennyire biztos abban, hogy valaki bármivel visszalépett a fővárosban hasonló ügyekben?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ez egy kemény harc lesz, de pillanatnyilag nincs ellensúly. A hatalommal szemben pillanatnyilag egy béna társadalom áll.; Azt lehet remélni hogy a jelenlegi válság fejbe kólintotta a politikát is.; remél; modális; A jelenlegi válság fejbe kólintotta a politikát is.; MNSZ2 beszéltnyelvi alkorpusz doc#2597; Ön szerint a beszélő mennyire biztos abban, hogy a jelenlegi válság fejbe kólintotta a politikát is?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Erdő Péter: Azért ha az Isten országa bennünk van és köztünk van akkor arra nézve mi nem maradhatunk közömbösek.; Ha most elutasítjuk azt amit most be tudunk fogadni belőle, akkor hogyan remélhetjük hogy majd az egész az ölünkbe hullik.; remél; feltételes, kérdés; Isten országa majd az ölünkbe hullik.; MNSZ2 beszéltnyelvi alkorpusz doc#2631; Ön szerint Erdő Péter mennyire biztos abban, hogy Isten országa majd az ölünkbe hullik?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hát ezek is majd attól tartok, hogy a saját rokonait, mert ez is jelen van. Hogy bizony itt ilyen családi összefonódások is vannak, az új kinevezések, és a meglévő tisztségviselők között.; Hát most remélhetjük hogy ezek fogják majd, tehát ezek az igazgató bizottsági tagok, és az új igazgatók fogják feltölteni az új munkahelyeket.; remél; modális; Ezek az igazgató bizottsági tagok és az új igazgatók fogják felötlteni az új munkahelyeket.; MNSZ2 beszéltnyelvi alkorpusz doc#2639; Ön szerint a beszélő mennyire biztos abban, hogy ezek az igazgató bizottsági tagok és az új igazgatók fogják felötlteni az új munkahelyeket?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ez azért hátrányos az országnak, mert miközben valóban ez a pénz utána lehet hogy itt Magyarországon fog befektetésként funkcionálni, de nem Magyarországon fog adózni.; Molnár Pál: - Ha elfogadjuk hogy a hazánkból kiömlő pénz harminc százaléka korrupciós pénz, mintegy hetven-nyolcvan milliárd forintra tehető az az összeg, ami korrupcióból keletkezett.; elfogad; feltételes; A hazánkból kiömlő pénz harminc százaléka korrupciós pénz.; MNSZ2 beszéltnyelvi alkorpusz doc#2598; Ön szerint Molnár Pál mennyire biztos abban, hogy a hazánkból kiömlő pénz harminc százaléka korrupciós pénz?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Amikor arról beszélünk hogy három millió létminimum alatt élő van, ennek bizony az egynegyede az gyermek.; És azt sem lehet elfogadni hogy most már 1,1 millió él pária társadalom szintjén.; elfogad; modális, tagadás; Most már 1,1 millió ember él a pária társadalom szintjén.; MNSZ2 beszéltnyelvi alkorpusz doc#2599; Ön szerint a beszélő mennyire biztos abban, hogy most már 1,1 millió ember él a pária társadalom szintjén?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aki nem ismeri fel hogy mindnyájan Istentől jövünk Isten felé tartunk, hogy Isten teremtményei vagyunk, annak ez az értékrend előbb utóbb kiüresedik értelmetlenné válik. Céltalanná válik mert miért legyek én jó vagy miért ne nyúljak a máséhoz hogyha az én érdekem ezt követeli.; De ha elfogadom hogy az erkölcsi érték nem attól függ hogy én pillanatnyilag mit gondolok vagy mit vélek, hanem mert az erkölcsi norma amely Istentől származik, akkor hűséges maradok ahhoz a törvényhez akkor is hogyha ez áldozatot pillanatnyilag egyfajta óriási önfegyelmet igényel a részemről.; elfogad; feltételes; Az erkölcsi érték nem attól függ, hogy az ember pillanatnyilag mit gondol vagy vél.; MNSZ2 beszéltnyelvi alkorpusz doc#2599; Ön szerint a beszélő mennyire biztos abban, hogy az erkölcsi érték nem attól függ, hogy az ember pillanatnyilag mit gondol vagy vél?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ez egy rendkívül veszélyes kényszeRiporter És itt Közép-Európának nagyon határozottan kell megfogalmazni az érdekeit.; Mert miközben elfogadhatjuk hogy a civilizációnknak szüksége van arra hogy nagyobb legyen, kiegészüljön mondjuk az orosz gazdasági térséggel, miközben el kell ismernünk hogy óriási jelentősége lesz a következő húsz évben annak a ténynek hogy az oroszok keresztények, aközben mindez nem történhet meg úgy hogy ez maga alá gyűrje Közép-Európát.; elfogad; feltételes; A civilizációnak szüksége van arra, hogy nagyobb legyen, kiegészüljön mondjuk az orosz gazdasági térséggel.; MNSZ2 beszéltnyelvi alkorpusz doc#2599; Ön szerint a beszélő mennyire biztos abban, hogy a civilizációnak szüksége van arra, hogy nagyobb legyen, kiegészüljön mondjuk az orosz gazdasági térséggel?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
B. Király Györgyi: - Ha stúdióban ülőknek nincs az elhangzottakhoz hozzáfűznivalója.; Aári Tamás Lajos: - Hallottunk nyomdászt, tankönyvkiadót ötlettekkel, elhangzottak jó ötletek, nem tudom, hogy jogszabályba lehet-e írni, de ha elfogadjuk hogy a gyerekeink egészsége fontos ügy, akkor érdemes lenne megkérdezni a gyerekeket, interneten emailen keresztül hasonló programokban, olyan jó ölteteket szoktak mondni, hogy döbbenetes mennyire rátapintanak a lényegre, és megvalósítható ötletet tudnak megfogalmazni, őket szoktuk elfelejteni, és a szülőknek is vannak ötletei, akiket szintén elfelejtünk.; elfogad; feltételes; A gyerekeink egészsége fontos ügy.; MNSZ2 beszéltnyelvi alkorpusz doc#2613; Ön szerint Aári Tamás Lajos mennyire biztos abban, hogy a gyerekeink egészsége fontos ügy?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lendületben az ország, ezt hagsúlyozza minden áldott alkalommal az új miniszterelnök, hogy ez így van-e az csak később derül ki, de hogy ő lendületben, állandó pörgésben van az szinte biztos. Ösztönös zseni, vagy ügyes manipulátor?; Gyurcsány Ferenccel kapcsolatban, látva nyilvános szerepléseit gyakran felvetődik a kérdés, de ha elfogadjuk hogy a politika ugyanolyan szakma mint bármi más a világon és a háttérben tanácsadók, felkészítők hada dolgozik azért, hogy minden politikus állandóan a szebbik arcát mutatva, 32 foggal vigyorogjon a kamerába, akkor azt is el kell fogadjuk, hogy Gyurcsányt tudatosan készítik fel szerepléseire és az eddigi tapasztalatok szerint nem is rosszul.; elfogad; feltételes; A politika ugyanolyan szakma, mint bármi más.; MNSZ2 beszéltnyelvi alkorpusz doc#2614; Ön szerint a beszélő mennyire biztos abban, hogy a politika ugyanolyan szakma, mint bármi más?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Az újságban olvastam egy hirdetést hogy ágyszínházhoz keresnek önkénteseket, Társi István :- Akkor Ön még nagyon új?; Hajdúné Varga Andrea: - Igen, teljesen új. Az elején kicsit féltem hogy majd nem tudom elfogadni hogy ők betegek, de észre sem veszem.; elfogad; modális, tagadás; A kórházban a nézők betegek; MNSZ2 beszéltnyelvi alkorpusz doc#2645; Ön szerint Hajdúné Varga Andrea mennyire biztos abban, hogy A kórházban a nézők betegek?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DR.Hegedüs Lajos: - Ebből a 40 ezer igénylőből a kormány idei ajánlata szerint 2000-en kaphatnának támogatást, ami azt jelenti, hogy 20 évenként juthatna hozzá - ilyen számok mellett - a mozgássérült a támogatáshoz.; Egy érdekképviseleti szerv nem fogadhatja el azt hogy három év alatt egyharmadára csökkenjen egy támogatási keret…; elfogad; modális, tagadás; Három év alatt egyharmadára csökken a támogatási keret.; MNSZ2 beszéltnyelvi alkorpusz doc#2608; Ön szerint DR.Hegedüs Lajos mennyire biztos abban, hogy három év alatt egyharmadára csökken a támogatási keret?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DR.Hegedüs Lajos: - Ebből a 40 ezer igénylőből a kormány idei ajánlata szerint 2000-en kaphatnának támogatást, ami azt jelenti, hogy 20 évenként juthatna hozzá - ilyen számok mellett - a mozgássérült a támogatáshoz.; Egy érdekképviseleti szerv nem fogadhatja el azt, hogy… ... a várakozási idő amely kb. 8-9 év volt korábban, az egyszerében 20 évre növekedhessen, ez számunkra teljes egészében elfogadhatatlan.; elfogad; modális, tagadás; A várakozási idő 20 évre növekedik.; MNSZ2 beszéltnyelvi alkorpusz doc#2608; Ön szerint DR.Hegedüs Lajos mennyire biztos abban, hogy a várakozási idő 20 évre növekedik?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Róna Péter: - Egyáltalán nem. Egyáltalán nem. Az én álláspontom két részre bontható. Az egyik az hogy az államnak kutya kötelessége az ilyen megállapodásokról és intézkedésekről nyilvános és teljeskörű elszámolást tenni.; Ezt nem fogadom el hogy itt ez valamiféle üzleti titok vagy valami.; elfogad; tagadás; Ez itt valamiféle üzleti titok.; MNSZ2 beszéltnyelvi alkorpusz doc#2618; Ön szerint a beszélő mennyire biztos abban, hogy ez itt valamiféle üzleti titok?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jó estét kívánok kedves hallgatóink Gecse Géza vagyok a műsor mai szerkesztője.; Adrian Nastase román miniszterelnök nyilt levelet írt Orbán Viktornak, amelyben a Fidesz Magyar Polgári Szövetség elnöke tusnádfürdői beszédére reagálva kijelentette hogy nem fogadja el hogy Romániában nincs demokrácia.; elfogad; tagadás; Romániában nincs demokrácia.; MNSZ2 beszéltnyelvi alkorpusz doc#2650; Ön szerint Adrian Nastase mennyire biztos abban, hogy Romániában nincs demokrácia?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tehát akik azért nem ápolnak ilyen közeli barátságot evvel a csapattal.; Én itt is egy szurkoló vagyok akinek egy kamera van a kezében ami azt tudja biztosítani hogy ez a dolog nem merül feledésbe.; biztosít; modális; Ez a dolog nem merül feledésbe.; MNSZ2 beszéltnyelvi alkorpusz doc#2597; Ön szerint a beszélő mennyire biztos abban, hogy ez a dolog nem merül feledésbe?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Azt kellene megnézni ennek a testületnek a múltjából, hogy a felépítése a szervezete és a működése teremtett és biztosított egy olyan közbiztonságot ami ma Magyarországon hiányzik.; Ha nem mindig csendőr pofonokat emlegetnének, hanem azt a szervezettséget, azt az ősrendszert amellyel azt lehetett biztosítani hogy megfelelő és nagy a közbiztonság, az elkövetett bűncselekmények felderítési mutatói pedig a 85 és a 95 százalék között mozogtak és a súlyosaknál szinte a száz százalékot elérték....; biztosít; modális; A közbiztonság nagy és megfelelő.; MNSZ2 beszéltnyelvi alkorpusz doc#2597; Ön szerint a beszélő mennyire biztos abban, hogy a közbiztonság nagy és megfelelő?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tehát a kérdés számomra mint európai demokrata számára úgy hangzik, letettük a voksunkat a demokratikus európai létforma mellett vagy sem.; És ha letettük, akkor tudnunk kell nekünk demokratáknak hogy rendszeresen megjelennek hol jobbról, hol balról ráadásul miután ez egy köríven van, ezért általában még az is előfordulhat hogy egyszerre jelennek meg.; előfordul; modális; A szélsősőgesek egyszerre jelennek meg jobbról és balról.; MNSZ2 beszéltnyelvi alkorpusz doc#2597; Ön szerint a beszélő mennyire biztos abban, hogy a szélsősőgesek egyszerre jelennek meg jobbról és balról?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A hivatalok nem megfelelő szintű írásbeli nyelvhasználata száztól ötezer eurós pénzbírsággal büntethető.; Egyszer még az is előfordulhat hogy az Istentiszteleti életben is korlátozzák az anyanyelv használatát?; előfordul; modális, kérdés; Az istentiszteleti életben is korlátozzák az anyanyelv használatát.; MNSZ2 beszéltnyelvi alkorpusz doc#2598; Ön szerint a beszélő mennyire biztos abban, hogy az istentiszteleti életben is korlátozzák az anyanyelv használatát?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gadácsi János: - De kisebb bürokrácia, adócsökkentés jó ezt el lehet érni intézkedésekkel, de hogy nincsen korrupció ilyen ország nincs a világon. Orbán Viktor: - Erre a felvetésre azt tudom önnek mondani hogy a Tízparancsolatot is naponta szokták megszegni, mégsem javasolja senki hogy írjuk át.; Tehát előfordulhat hogy Önnek igaza van, de ez nem ok arra hogy elfogadjuk a korrupció létezését.; előfordul; modális; Gadácsi Jánosnak igaza van.; MNSZ2 beszéltnyelvi alkorpusz doc#2599; Ön szerint Orbán Viktor mennyire biztos abban, hogy Gadácsi Jánosnak igaza van?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Például nem említette például Belgiumot, ez még úgy a tarsolyunkban van. előfordulhat például, hogy Belgiumból.; Mi magyar kötődésű csapatokat szeretnénk elsősorban nyugatról meghívni, éppen most van egy ilyen belga csapat, előfordulhat hogy még ők valahogy, akár még talán idén is képbe kerülnek, és aztán szépen fokozatosan bevonódnak adott esetben éppen mondjuk Franciaország is.; előfordul; modális; A belga csapat még idén képbe kerül.; MNSZ2 beszéltnyelvi alkorpusz doc#2602; Ön szerint a beszélő mennyire biztos abban, hogy a belga csapat még idén képbe kerül?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
- Persze, pici gyerek nem is mehet hozzá közel, az unokaöcsém két évesen nem célszerű hogy közel menjen, mert kistestű.; Könnyen előfordulhat hogy tápláléknak nézi.; előfordul; modális; Az állat tápláléknak nézi a beszélő unokaöccsét.; MNSZ2 beszéltnyelvi alkorpusz doc#2605; Ön szerint a beszélő mennyire biztos abban, hogy az állat tápláléknak nézi a beszélő unokaöccsét?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hogyan lehetséges ez annak ellenére, hogy a hallgatónk látta, hogy fajtatárssal történt a párosodás?; Előszöris előfordulhat hogy valamelyik szülő, tehát akár a kan, akár a szuka már korábban nem volt fajtatiszta, bár ez fenotípusosan, tehát szemmel láthatóan nem jelentkezett.; előfordul; modális; Valamelyik szülő már korábban nem volt fajtatiszta.; MNSZ2 beszéltnyelvi alkorpusz doc#2613; Ön szerint a beszélő mennyire biztos abban, hogy valamelyik szülő már korábban nem volt fajtatiszta?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tehát igaz, hogy a választási részvétel összességében nagyobb, de a román pártok mozgósítása is jelentősebb volt mindkét megyében.; Több szavazatot összesítettek és Kovászna megyében biztosan beviszik a képviselőjüket, aki eddig is volt, előfordulhat hogy kettőt visznek be és Hargita megyébe bevisznek egy képviselőt, ami nem történt meg 1992 óta.; előfordul; modális; Kettő képviselőt visznek be.; MNSZ2 beszéltnyelvi alkorpusz doc#2613; Ön szerint a beszélő mennyire biztos abban, hogy kettő képviselőt visznek be?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
